 RT , ねぇねぇみんな聞いて：
あのどろぼうねこ,手段を選ばず、卑劣な手を使う人
あのやろう,チャーミングなお方
あのやろー,麗しゅうあのお方
あの泥棒猫,手段を選ばず、卑劣な手を使う人
あの野郎,チャーミングなお方
あはは,うふふふ
あばずれ,眉をしかめてしまう方
あばんぎゃるど,新し過ぎて分からない
あふぃかす,まとめる能力がある人
あぶらぎっしゅ,胃もたれしそう
あへがお,（。∀°）
あほ,世紀の天才
あほ,天才
あほんだら,人より少々ユニークな方
あめ,てるてる坊主に祈る天気
あらさー,お姉さん
あらふぉー,お母様
ありえないっしょ,理解が追いつかないわ
ありえねー,いっそ奇跡だわ
ありえんてぃー,むしろ、奇跡がおきたわ
ありがとう,ありがとう♪
あるかいっくすまいる,この世を受けいれた笑顔
あんた,あなたさま
あんだよ,あるんだからね
あんの？,あるの？（私でよければ話して。）
あんぽんたん,お話にならない方
あーもう,あんっ　もおっ
あーるてぃー, ねぇねぇみんな聞いて：
あーるわい,（この先はひ・み・つ♡）
い【た】＊た,アララ
い【ー】＋かげん,あ𰚃分で
いあつ,ふんぞり返り
いあつてきな,ライオンさんみたいな
いいあらそい,マシュマロのぶつけ合い
いいあらそう,マシュマロをぶつけ合う
いいかげん,あ𰚅分で
いいかげん,ちょうどいい状態
いいきみ,良い黄身
いいしつもん,私の人生を変えるいい問い
いいしつもんですね,待ってました
いいだしっぺ,先陣をきった方
いいはなしだなー,あれ、ヤダ、感動の涙が、止まんない…
いいふらす,人間スピーカーになる
いいわけ,譲れない確固たる理由
いい加減,あ𰚅分で
いい気味,良い黄身
いい質問,私の人生を変えるいい問い
いい質問ですね,待ってました
いかがわし,奥の深
いかがわしい,とてつもなく怪しい
いかさま,正義
いかす,とってもいい感じ
いかやろう,お客様
いかる,自分の信念を侵害される
いかれて,常識を飛び越えて
いかれてる,お洒落
いかれぽんち,とてもたのしい人
いきおい,すさまじい激しさ
いきぐるしい,気持ちいい
いきしてない,ピンチはチャンス♪
いきたくない,お家に直帰したい
いきてんな,元気でいて
いきどおり,不思議なパワー
いきどおる,著しく腹がお立ちになる
いきどまり,新たな可能性を模索するチャンス
いきぬき,自分にご褒美♪
いきもの,命ある者たち
いきる,素晴らしい人生を送る
いきわかれた,運命に引き裂かれた
いぎりす,お紅茶の国
いくじい,頼りになるお爺様
いくじなし,思慮深く行動が慎重な人
いくめん,「趣味＝子育て」なお父さん
いくら,赤い宝石のようなつぶつぶ
いけしゃあしゃあ,ちょっぴりずうずうしい
いけすかない,好ましい
いけず,最高！
いけだん,全世界に自慢したい旦那様
いけてる,素敵な
いけにーと,外に出ればアイドル
いけぼ,かっこいい声
いけめん,美男子
いけん,考え抜いた思い
いこく,冒険先
いごこちがわるい,お家に帰りたい
いごこちわるい,お家帰りたい
いさん,ある意味タイムカプセル
いざ,時が、きましたわ
いざこざ,かわいいケンカ
いざゆかん,時が、きましたわ
いしきたか,自分を天まで高め
いしきたかい,向上心が暴走している
いしゃ,白服の魔法使い
いしやきいも,紫色の宝石
いしょ,遠い国へ旅立つ時の手紙
いじきたない,食にこだわりを持っている
いじける,元気になる
いじげん,パッソでは行けない世界
いじめ,苦悩
いじめる,やさしくする
いじょう,すこし変わっているご様子
いじられる,愛されて、ちょっかい出される
いじられん,手を下される
いじる,愛おしいのでちょっかいを出す
いじわる,愛情の裏返し
いせえび,ラグジュアリー海老
いせき,先祖たちのおうち
いそがしい,人気者な
いそぐ,風になる
いぞん,おあずけ
いたい,針でつつかれる感じ
いたた,アララ
いたたまれない,心が泣いている
いただきます,ありがたく頂戴いたします
いたばさみ,サンドイッチ
いためん,ケガをしている男性
いたわる,やさしくする
いちがつ,素晴らしい１年がはじまる月
いちがんれふ,現実を忠実に切り取るカメラ
いちきた,一時帰宅
いちご,いちごちゃん
いちねんせい,キラキラしている人たち
いちゃいちゃ,愛の提示
いちゃつ,愛の確かめ
いちゃもん,根拠のないリクエスト
いっしゅん,光のように過ぎ去る時間
いっしょ,決してひとりじゃない
いっしょう,ゆりかごから墓場までの素敵な時間
いっしょうけんめい,夢のために頑張って
いってよし,生きてくださいね
いっぱい,数えきれないほどたーくさん
いっぱんじん,普通ではない人
いつか,夢がかなう時
いつめん,いつものメンバー
いつメン,いつものメンバー
いとおしい,狂おしいほどかわらしい
いない,いらっしゃらない
いなか,うさぎがかけまわる野山
いにしあちぶ,主導権
いぬ,ワンワン
いのへっど,京王井の頭線
いまいち,上出来
いまいましい,気になる
いまがわやき,パンケーキ☆
いまきた,たった今、いらっしゃった
いまきたさんぎょう,たった今、いらっしゃった
いまじねーしょん,想像力
いみがない,どんなものにも意味はある
いみてーしょん,ほんもの
いみない,どんなことだって意味がある
いみなし,どんなことだって意味がある
いみね,どんなことだって意味がある
いみふ,意味不明
いもる,緊張しておどおどしてしまう
いやしい,品がない
いやだ,素敵な
いやな,素敵な
いらいら,キラキラ
いらっとする,すこし頬がピクピクしてしまう
いらつく,すこし頬がピクピクしてしまう
いらまちお,♡♡♡♡♡
いるみねーしょん,美しく刹那的に輝く電灯
いろっぽい,他の同性より女らしい
いんかていこく,古代ロマンの国
いんぎんぶれい,丁寧なのに失礼♪
いんけい,くまちゃん
いんけん,陽気
いんご,ナイショの言葉
いんしょう,頭に浮かぶ像
いんすぴれーしょん,神様のお告げ
いんせい,勉強熱心な学生
いんたーん,社会人ごっこ
いんちき,巧妙
いんちょう,いちばん偉い方
いんてり,intelligence
いんてりあ,家のおしゃれ
いんど,バタフライしたい場所
いんどあ,巣籠もり
いんどあは,家の中で遊ぶのが好きな方たち
いんぱくと,衝撃
いんふぉめーしょん,お役にたつ情報
いんふるえんざ,毎年みんなに流行する病気
いんふれ,お祭り
いんぶ,☆☆
いんぷっと,モグモグ
いんぽ,♡♡♡
いんもう,きつねちゃん
いんゆ,実はそういう意味
いんよう,「ちょっとお借りします」
いんらん,破廉恥
いーかげん,あ𰚃分で
いーきみ,良い黄身
いーめいわく,上質な迷惑
いー気味,良い黄身
いー迷惑,上質な迷惑
う【っ】＋ざ,失礼しちゃう
う【っ】＋せ,お口閉じてほし
う【っ】＋ぜ,たいそう賑やか
う【っ】＋そ,パッソ
う【っ】＋とうしい,おねんねしたい
う【っ】＋は,てへっ
う【っ】＋ひょ,てへっ
う【っ】＋め,美味しい
うぃ,はいっ
うぃ,分かったわ
うぃ【いぃ】＊いぃ,ﾙﾝ♪ o(≧▽≦)o ﾙﾝ♪
うぃいぃいぃいいぃい,ﾙﾝ♪ o(≧▽≦)o ﾙﾝ♪
うぃっす,はあい
うぃる,の予定だわ
うぃーす,承知致しました
うぇ【ー】＋い,きゃーっ
うぇい,とってもイェーイ
うぇぶやろう,「ウェブ＝人生」というお方
うぇるかむ,おいでませ
うぇーい,きゃーっ
うぉい,ちょっとぉ
うお【ー】＋い,きゃー
うおー,きゃっ
うおーい,きゃー
うがい,ガラガラガラ、ペッ
うける,きゃはは
うけんね,表情筋が鍛えられるわね
うさんくさ,信じがたいわ
うさんぽ,(・ω・))))
うざ,失礼しちゃう
うざい,私の人生に登場しないでほしい
うすらとんかち,打っても響かない人
うすらわらい,メッキがはがれた笑顔
うすら笑い,メッキがはがれた笑顔
うぜ,うじょ
うぜえ,煌びやかだ
うそつき,嘘がお上手
うそはっぴゃく,豊かすぎる想像力
うそやん,あ、針千本飲ますわよ
うそをつく,笑顔を見せる
うたがい,不安になっちゃう乙女のハート
うだうだ,全力でダラダラ
うちゅうじん,不確かな人
うちら,私ども
うっざ,失礼しちゃう
うっせ,お口閉じてほし
うっぜ,たいそう賑やか
うっそ,パッソ
うっと【ー】＋しー,おねんねしたい
うっとうしい,おねんねしたい
うっとおしい,おねんねしたい
うっとーしー,おねんねしたい
うっは,てへへっ
うっひゃ,きゃはっ
うっひょ,てへっ
うっめ,美味しい
うつ,勇者
うなぎ,パスタ
うはうは,神様に感謝
うひゃ,きゃはっ
うひょ,ホクホク♪
うぷ,worldwidewebに投稿
うまい,お口が幸せに包まれる
うまそう,きゃ&#xff5eyummy;そうだわ～
うむ,(｡ ・ω・))ﾌﾑﾌﾑ
うめぇ,私の胃が幸福を感じてる
うやむや,うにゃむにゃ
うらぎり,重ねられたジョーク
うらぎりもの,きっと何か理由がある人
うるさい,にぎやかなご様子
うるせえ,ボリューム、下げてくださる？
うるせー,たいそう賑やかー
うろちょろ,小回り
うわぁ,(ドン引きだわ)
うわぁ…,(ドン引きだわ)
うんこ,ダイヤモンド
うんこずわり,素行のよしからぬ座り方
うんこ座り,素行のよしからぬ座り方
うんざり,トキメキ
うんち,不要物
うんちく,押し付けがましいトリビア
うんちゃん,運転手さん
うーろんちゃ,タピオカミルクティー
うーろんはい,タピオカミルクカクテル
うーん,そうだわねぇ…
え【っ】＋ぐ,EGG
え【っ】＋ち,♡♡♡
えいえん,大切な人との愛
えいが,非日常への旅
えいがかん,人生が学べる場所
えいぎょう,商売のお話
えいご,これからの時代の武器
えいひれ,お酒のともだち
えいゆう,同じ人間なのが嬉しいお方
えがお,恋人に見せる顔
えき,ここではないどこかへの扉
えきすぱーと,専門家
えきせんとりっく,極端に変わっているご様子
えきぞちっく,異国情緒あふれる
えきたい,みずみずしい物体
えきべんだいがく,のびしろがある大学
えぐい,尋常ではない
えげつない,やさしい
えこ,「地球にやさしく♪」
えご,とってもマイペース
えさ,超高級フレンチ
えすかれーたー,寝てても上に行ける乗り物
えすこーと,どんどん暴走
えすこーと,恋人の導き
えすぷり,フランス的精神
えせ,本当の
えたいがしれない,ワクワクするなぞの
えっぐ,EGG
えっち,♡♡♡
えなりってる,上着のシャツをズボンのなかに入れる
えび,海の中のイケメン
えぴそーど,物語
えぴろーぐ,後日譚
えふらん,のびしろがある大学
えふらんくだいがく,のびしろがある大学
えべれすと,世界最高峰
えほん,色とりどりの物語
えま,願いを託す板
えもの,女の子から見た男の子
えらい,尊敬できる
えらがはっている,しっかりした骨格がある
えらそう,上のほうから見るのがお好き
えらぶ,人生を進める
えらぶる,上のほうから見るのがお好き
えらんだ,人生を一歩前進させた
えろい,倫理的によくない！
えんぎでもない,ハッピーハッピー♪
えんじょう,大きめの火事
えーてぃーえむ,お金が出てくる魔法の箱
お【お】＊お,まあ
お【っ】＋け,理解したわ
おい,ね～え
おいこん,先輩ありがとうパーティー
おいしい,私のタンが喜んでる
おいっす,(・_・)ノ
おいてかれた,世界のスピードについていけない
おいでませ,私の胸に飛び込んできて
おうだ,キッス
おうち,本当に心やすらぐホーム
おうちごはん,最高のごはん
おお,まあ
おかあさん,敬愛なるママ
おかさーふぁー,見かけ倒し海人
おかして,歴史に泥を塗って
おかちめんこ,目と鼻と口の配列が乱れた顔
おかま,美しい殿方
おかめいんこ,寝癖が激しいインコちゃん
おきに,寵愛している
おきにいり,いつも一緒にいたい
おきべん,身軽な登下校
おぎゃる,アーティスティックな女性
おくしょん,お城みたいなおうち
おくらいり,無かったことにされたもの
おくればせながら,忘れてたわけじゃなくて、ちょっと遅れちゃったけど
おける,美声を披露する
おさがり,ヴィンテージ
おされ,ハートが盗まれる程ステキ
おしっこ,生理現象
おしゃべり,楽しく女子トーク♪
おしゃれ,素敵なセンス
おしゃんてぃー,ファンタスティックでハイカラ
おじぎ,美しいご挨拶
おじゃま,参上！
おじゃん,無駄なことなんてひとつもない
おす,ハイッ
おたく,次元を越えた愛を持つ方
おちこぼれ,大器晩成型の人
おちゃする,お茶を飲みながら、あなたとじっくり語りあう
おっかけ,想い焦がれて追い続ける
おっかない,目をふさぎたくなる
おっけ,理解したわ
おっけー,分かったわ
おっさん,紳士なお方
おったまげた,動悸が激しくなっちゃった
おっちょこちょい,かわいいドジっこ♡
おっはー,先生、みなさん、おはようございます
おっぱい,女体の宇宙
おっぱじまる,つ…ついに始まってしまう
おっぱっぴー,やってらんない、家に帰りたい
おつ,おつかれさま。その頑張りに敬意を示すわ。
おつかれさま,がんばったから、肩もんであげる
おつぼね,人生の大先輩
おとうさん,尊敬するパパ
おととい,４８時間前
おとな,歳を重ねた子どもたち
おとながい,日本の景気をよくする買いもの
おとなげない,子どもゴコロを忘れてない
おなにー,♡♡♡
おなぺっと,♡♡♡♡♡
おなら,天使のため息
おにぎり,日本の宝
おにもつ,私を悩ませる種
おにゅー,おうちに呼んだばっかり
おねえ,キュートボーイ
おはよう,おはよう！空、鳥、そして愛するあなた
おばたりあん,貴婦人
おばはん,淑女なお方
おひめさまだっこ,女の子の夢の抱っこ
おひらき,帰ってお風呂に入る時間
おふぃす,崇高な労働をする場所
おふかい,みんなで公園に集合
おべんとう,愛が詰まった小箱
おまえ,貴方様
おまじない,幸せをよぶお作法
おませ,背伸びしたいお年頃
おまわりさん,この街の平和の重鎮
おまんこ,♡♡♡♡
おまんまん,お花
おめでとう,♡♡♡おめでとう♡♡♡
おもろい,おもしろいわ
おやこどん,ジャパニーズロコモコ
おやじ,ジェントルマン
おやすみ,ありがとう、今日という素晴らしい一日よ。
おら,わたくし
おりき,情熱人
おるず,でも、負けない！がんばる！
おれ,わたくし
おれおれさぎ,わたしよわたし詐欺
おれとく,私がハッピー
おんち,マネできない感性
おんなたらし,非常におモテになる方
おんぶにだっこ,誰かにパラサイト
おんぶに抱っこ,誰かにパラサイト
おマンコ,♡♡♡♡
おーえるさん,キラキラ女子
おーくしょん,人の情熱で値段を決める方法
おーけー,理解したわ
おーとま,パッソ
おーびーほうもん,もしもし先輩
おーら,秘めたるビーム
おーるし,時が経つのを忘れ朝を迎え
お前,貴方様
お姫様抱っこ,女の子の夢の抱っこ
お局,人生の大先輩
お弁当,愛が詰まった小箱
お母さん,敬愛なるママ
お気に入り,いつも一緒にいたい
お父さん,尊敬するパパ
お茶する,お茶を飲みながら、あなたとじっくり語りあう
お荷物,私を悩ませる種
お蔵入り,無かったことにされたもの
お開き,帰ってお風呂に入る時間
かい,私のお家に召還
かいかん,とてつもなくいい気分
かいがい,ここではないどこか
かいぎ,おやすみタイム
かいこ,解放
かいこちゅう,昔が好き同盟
かいしゃ,楽園
かいしゃいん,戦士
かいしょうなし,ポテンシャルがある人
かいそう,ナラタージュ
かいた,綴った
かいもの,わくわくショッピング
かいわ,楽しいおしゃべり♪
かう,ストレス発散する
かえりみち,幸せへと続く道
かえれ,そろそろお帰りなさい
かおかせ,お話しましょう
かがわ,おうどんがおいしい場所
かく,綴る
かくさんきぼう,みんな、注目だよ♡
かくす,しまう
かくれる,ひっそりと見えない所へいく
かげぐち,褒め言葉
かこ,夢中だった日々
かこいい,ハンサム
かざかみにおけない,ちょっぴりずるい♪
かしこい,頭がエクストリーム
かしすおれんじ,タピオカミルクジュース
かしんする,自分を強く信じる
かす,綿菓子
かぜ,ウィルスと契約
かたおもい,美しき一方通行
かたぶつ,真面目な方
かたる,愛について話す
かっけー,かっこいい
かっこう,スタイル
かっこわるい,かっこいい
かっこ悪い,かっこいい
かっさらう,王子様が姫を連れて行く
かってなこと,私にとってよくないこと
かってに,無許可で
かつ,頑張る
かつら,身だしなみグッズ
かなしい,うれしい
かなしい,眠い
かなしかった,眠かった
かなしみ,睡眠
かにばる,競合する
かのじょ,My sweet.
かふぇ,愛を語らう場所
かふぇおれさま,王子様
かべ,必ず乗り越えられる試練
かべどん,愛のノック
かまちょ,かまってほしい
かまとと,ピュア
かみ,造物主
かみなり,タライ
かみんぐあうと,愛の告白
かめら,生きる喜びを写す機械
かめれす,お返事の遅延
かゆい,むずむずする♪
から【っ】＋きし,見事に
からかわれた,アドバイスされた
からきし,全然
からげんき,心の底から元気
からこん,可愛くなれる魔法
からす,スズメ
からっきし,見事に
かりすま,創造の神
かるいざわ,オアシス
かれいしゅう,大人が醸し出す香り
かれし,マイダーリン♡
かれせん,見る目のある女性
かれた,趣が出てきた
かれる,趣が出る
かれー,カリー
かわいい,著しく愛おしい
かわいくない,可愛いじゃなく、美しい
かわいげない,守ってあげたい
かわいそす,かわいそう
かわいそー,こっから挽回しよ
かわうぃ〜ね〜！,とてもかわいいわ♪
かわく,愛に飢えている
かんかく,センス
かんがえ,思索
かんがる,頑張るわ
かんしょうてき,おセンチ
かんちがい,想定の範囲内
かんちょう,♡♡
かんちょー,アチョー
かんにさわる,デリケートな部分に触れる
かんような,包み込むようにやさしい
かーちゃん,お母様
がいじん,お友達
ががつよい,強い信念を持つ
がき,お子様
がきんちょ,天使
がくがくぶるぶる,ドキドキワクワク
がくせい,勉学に励む者達
がさつ,野性むき出し
がぞうはらでい,画像を貼ってください
がたがたいう,こだわる
がたがた言う,こだわる
がち,本気
がっかり,すこし気を落とす
がっこう,青春の庭
がったい,がっちゃんこ
がっつ,ありあまる元気
がつがつ,スイスイ
がめつい,どん欲な
がらにもない,あまり合わない
がんき,♡♡
がんこ,こだわりが強い
がんぶろん,かっこいいお方
がんぶー,かっこいいお方
がんぼる,がんばる
がんめん,お顔
きあい,頑張るキモチ
きぇー,きゃあ
きえたい,笑顔で過ごしたい
きえろ,愛を持って生きろ
きえー,きゃあ
きおすく,マルシェ
きかい,神様がくれたチャンス
ききずて,右の耳から左の耳へスルー
ききみみ,ビッグなお耳
きくらげ,キクラゲ科のきのこ
きさま,お主
きざ,清く正しくかっこよい
きしょい,ひょうきん
きしょー,ビューテホー
きじょうい,♡♡♡
きす,キッス
きずな,あなたとわたしの強い関係
きたく,おうちでゴロゴロ
きたない,個性あふれる
きたねえ,目が濁る
きたー,御出でになるー
きちがい,ユニークが過ぎる方
きちく,いま、乗り越えるべき試練
きっく,パンツ見えちゃうポーズ
きどあいらく,人間として生きてる証拠
きどり,おすまし
きなくさい,もうっ！ハッキリしない
きな臭い,もうっ！ハッキリしない
きほん,普通に考えたらね
きまぐれ,天の神様の言う通り
きめぇ,見届けていたい
きめえ,優雅な
きも,ワンダホー
きもい,ソーワンダホー
きもちわるい,生理的に不快
きゃっち,道でお声がけいただくの
きゃぴきゃぴ,キャピ♡キャピ
きゃわ*,たいそう可愛らしい
きゃわ,たいそう可愛らしい
きゅう,昔、愛した
きゅうかんび,肝臓の休日
きゅうに,挨拶もそこそこに
きゅうぶれーき,とっさにストップ
きゅん,トキメキとまんない
きゅーと,骨抜きになる可愛さ
きょう,一番新しい私が生きている日
きょうじゅ,プロフェッサー
きょこん,♡♡
きょしゅ,ハンザッップ！
きょどる,心がかき乱される
きょにゅう,目を奪われるボディ
きらい,将来的には好きになるしかない
きらわれたくない,ありのままの私を愛してほしい
きれる,ぷんすかぷんぷんしちゃう☆
きんぎょ,宝石みたいなお魚
きんたま,守るべき場所
きんだんの,アダムの
きんにく,強靭なたんぱく質
きんようび,ビールがひときわ美味しい日
きーぷくん,予備のタイヤみたいな人
ぎすぎす,人間関係の不協和音を演奏
ぎぶ,ネバーギブアップ！
ぎゃくぎれ,理屈にかなわない怒り
ぎゃらんどぅ,下半身のはじまりを告げるお毛
ぎゃる,アートな外見の人
ぎゃんぶる,人生の綱渡り
ぎゅっと,そう、もっと壊れるほどに強く
ぎょい,おっしゃるとおりだわ
ぎりぎり,余裕
ぎんざ,わたしのお庭
くいいじ,食べる意欲
くいず,２人以上で楽しむ問いと答え
くいーん,女王様
くうきよむ,空気読まない
くうきよめない,空気は読むものじゃない！
くうきよめない,空気は読むものじゃない！
くうこう,脳内シアターで上映
くうそう,旅のはじまりの場所
くさい,香り高い
くさってる,賞味期限きれてる
くさはえた,面白い
くさふかひ,笑わずにはいられない
くされげどう,また、やり直せる人
くすくす,うふふふ
くず,宝物
くずれ,お話しにならない
くそ,天使
くそくらえ,ソフトクリームをお食べなさい
くそじじい,素敵なムッシュ
くそじょうし,尊敬すべき先輩
くそったれ,美しく儚い者たち
くそつまんない,面白くなる余地がある
くそのやくにもたたない,いるだけで意味がある
くそばばあ,素敵なマダム
くそみたいな,天使みたいな
くたばれ,イキイキとしてね♪
くだらない,おもしろい
くちからうまれた,たいそうおしゃべりな
くちがうまい,おくちが魔法使い
くちくさい,おくちが香り高い
くちびる,キスしたくなる部分
くちゃらー,食事中の演奏者
くっそ,おやすみ
くびになる,自由になる
くま,ぬいぐるみみたいな動物
くもをつかむような,まるで夢のような
くらい,明るい
くらおた,クラシック愛好家
くりとりす,♡♡♡♡♡
くるう,ハイな気分になる
くるう,ハッピーになる
くるしい,楽しい
くるってる,すっごく楽しくなる
くるま,パッソ
くれか,クレジットカード
くれひす,クレジットカードの使用履歴
くれーむ,無視したいご意見
くろかび,ホクロさん
くわしく,詳しく
くんに,♡♡♡
くーる,冷静な様子
ぐうかわ,とてもかわいい
ぐうたら,のんびり屋さん♪
ぐぐる,検索する
ぐぐれかす,調べれば簡単に出てくるわ♪
ぐず,のんびり屋さん♪
ぐだぐだ,のんびり
ぐちょぐちょ,サラサラ
ぐっじょぶ,よくやったわね
ぐのこっちょう,悪さの天才
ぐる,仲間
ぐれる,とんがる
ぐろかわいい,気持ち悪くてかわいい
ぐんまー,群馬
ぐーぐるせんせい,非常に優れた検索エンジン
けあな,毛の出身地
けあれすみす,もう一人の私のいたずら
けいけんにんずう,夢のような時間を過ごした人の数
けいじ,真相をつきとめる方
けいじばん,情報の海
けいたい,携帯するのを越えた体の一部
けいべつ,見直し
けいわい,つまらないルールにとらわれない
けおとす,思わず抱擁する
けがらわしい,１周回って美しい
けぎらい,よく知りもしないのに嫌悪
けしかける,手の平で私をクルクルする
けしからん,気になっちゃうわ
けしごむ,消すために、消えゆくもの
けしたい,グッバイバイいたい
けしょう,変～身っ
けじめ,品行方正
けたたましい,たいそうにぎやかな
けだるい,体がやる気ない
けち,金銭感覚がしっかりしてる
けちゃっぷ,オムライスにハート書く液体
けっきょく,結論から言うとね
けっこん,一生一緒の約束
けったい,一風変わった
けっぺき,お風呂に１日５回は入りたい
けつ,臀部
けばい,お化粧が念入りな
けばけばしい,カラフルな
けむくじゃら,もっふもふもふ
けむし,未来の蝶
けんあく,曇り空
けんか,絆を深める衝突
けんがい,アウェイ
けーき,ストロベリーショートケーキ
げい,Boy meets Boy
げいにん,ラフメイカー
げきおこ,(`Д´)
げきおこぷんぷんまる,うふふ♡ゆるしてあげるわ
げきおこぷんぷんまる,うふふふ♡ゆるしてあげるわ
げきおこぷんぷん丸,うふふふ♡ゆるしてあげるわ
げきちん,しゅぼーん☆
げしゅたるとほうかい,頭の中がピーヨピヨ
げじまゆ,鳥の巣まゆげ
げす,花束
げすい,もはや神々しい
げせわ,大きなお世話
げっ,あらまっ
げっきゅう,ご飯
げっそり,ため息でちゃう
げっちゅー,ありつく
げっと,私の家に召喚
げつく,帰宅したくなるドラマ
げつよう,あと一日休んでいたい日
げてもの,ある意味、芸術品
げとる,私の家に召喚する
げらげら,きゃはきゃは♡
げり,♡♡
げりら,イッツショウタイム
げるまん,遠い国の人々
げろ,マーライオン
げんかい,ゴールテープ
げんかく,ドリーム
げんきん,憎めない
げんなり,にんまり
げーせん,ワンコインの遊園地
げーとぼーる,ジェントルマンの嗜み
げーむ,現実逃避する遊び
こあくま,わざと翻弄する人
こいつ,このおかた
こうかいしょけい,楽しいショー
こうちょうせんせい,ちょっぴりお話が長いかた
こえぶた,声優ファン
こく,炸裂させる♪
こくる,告白する
こけにする,尊敬する
こざかしい,頭のいい
こしぬけ,勇者
こしゃくな,かわいらしい
こじき,自由人
こじんぷれー,合同コンパでの自分勝手な行動
こすぷれ,変身
こすめてぃっくばいおれんす,香水の香りを周囲に振りまく女性
こそどろ,素早い仕事ができる人
こっちみるな,ヤダ//恥ずかしいわ///
こっちみんな,ヤダ//恥ずかしいわ///
こっち見るな,ヤダ//恥ずかしいわ///
こっち見んな,ヤダ//恥ずかしいわ///
こっばみじん,バラバラ♪
こてんぱん,徹底的にやっつけるご様子
こどもあつかい,天使扱い
こどもだまし,無邪気
こないで,ギュッと抱きしめて
こなまいきな,大人びてらっしゃる
こにくらしい,気がきいている
このまんまだと,現状を維持すると
このやろう,この天使
このよからきえて,心穏やかに生活して
この世から消えて,心穏やかに生活して
この野郎,この天使
こぴぺ,文章を引用し貼付けること
こみゅしょう,人付き合いが苦手なおかた
こら,これこれ
これじゃないかん,自分の予想とは違う感
ころして,ナデナデして
ころす,生かす
ころんぶす,遠くから合コンに来た女性
こわっぱ,ちいさなおかた
こんちくしょう,るんるんるん
こんちゅうしょくじょし,虫を食べるのがお好きな女性
こんりんざい,絶対に♪
ごいすー,すごいわ
ごうじょう,つよい気持ち
ごうよく,無欲
ごきぶり,カブトムシ
ごくあくにん,大天使
ごくつぶし,たくさん食べる元気者
ごくどう,楽しさを求める者
ごくらくとんぼ,幸せ者
ごごむちゅう,午後になると眠くなるご様子
ごときが,さまのようなおかたが
